2025-03-15 07:09:46 root         INFO     Starting GetRecords Consumer
2025-03-15 07:09:46 botocore.credentials INFO     Found credentials in shared credentials file: /home/coder/.aws/credentials
2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'c5cada77-f704-44a0-8578-29ee8ebe4f37', 'customer_number': 377, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 122139, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805825551269325336933849846775810
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': 'c5cada77-f704-44a0-8578-29ee8ebe4f37', 'customer_number': 377, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 122139, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 86505), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 13, 'total_different_products': 3}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940767584782524829408822296578 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '9a622c0a-9f9b-43ee-93d5-7b743701bd04', 'customer_number': 119, 'city': 'North Sydney', 'country': 'Australia', 'credit_limit': 54266, 'browse_history': [{'product_code': 'S24_2000', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_2248', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S700_2610', 'quantity': '4', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805842836490694186905981683761154
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '9a622c0a-9f9b-43ee-93d5-7b743701bd04', 'customer_number': 119, 'city': 'North Sydney', 'country': 'Australia', 'credit_limit': 54266, 'browse_history': [{'product_code': 'S24_2000', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_2248', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S700_2610', 'quantity': '4', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 105766), 'overall_product_quantity': 10, 'overall_in_shopping_cart': 6, 'total_different_products': 3}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940773629411622902554695827458 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'de596efc-f4cb-4768-94fc-f37879580086', 'customer_number': 404, 'city': 'Chatswood', 'country': 'Australia', 'credit_limit': 81120, 'browse_history': [{'product_code': 'S24_2840', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_2887', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S18_1662', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_2766', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '8', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805848147301819753973389277003778
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': 'de596efc-f4cb-4768-94fc-f37879580086', 'customer_number': 404, 'city': 'Chatswood', 'country': 'Australia', 'credit_limit': 81120, 'browse_history': [{'product_code': 'S24_2840', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_2887', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S18_1662', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_2766', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '8', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 126967), 'overall_product_quantity': 30, 'overall_in_shopping_cart': 11, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940782091892360204958918770690 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'b543d590-27d3-49cb-ba0c-3676949d6ee3', 'customer_number': 119, 'city': 'New Haven', 'country': 'USA', 'credit_limit': 12459, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S32_2206', 'quantity': '10', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805853896953017841151187288588290
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': 'b543d590-27d3-49cb-ba0c-3676949d6ee3', 'customer_number': 119, 'city': 'New Haven', 'country': 'USA', 'credit_limit': 12459, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S32_2206', 'quantity': '10', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 152254), 'overall_product_quantity': 16, 'overall_in_shopping_cart': 1, 'total_different_products': 4}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940803852557113268284063481858 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '98a5a524-3503-4b4b-b778-c1d0e2cdcd06', 'customer_number': 295, 'city': 'Central Hong Kong', 'country': 'Hong Kong', 'credit_limit': 127457, 'browse_history': [{'product_code': 'S10_4757', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S700_2824', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2466', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S24_2011', 'quantity': '3', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805853933220792429590062529773570
